Results of individual 3D analysis
Dataset name, G:\Axial\AX13_RC02_highres\AX13_RC02_Rec\ReconstructedAnalysis\VOI\ax13_rc02_rec0000
Number of objects, 12892
#,Object volume,Object surface,Volume of pores,Surface of pores,Porosity,Number of pores,Centroid x,Centroid y,Centroid z,Structure model index,Volume-equivalent sphere diameter,Surface-equivalent sphere diameter,Sauter diameter,Sphericity,Density,
,Obj.V,Obj.S,Po.V,Po.S,Po,Po.N,Crd.X,Crd.Y,Crd.Z,SMI,ESDv,ESDs,Sau.Dm,Sph,Dens,
,um^3,um^2,um^3,um^2,,,um,um,um,,um,um,um,,Index,
1,1996414.57614,124074.64483,22.46483,72.59855,0.0011,15,1556.74676,440.40199,80.35032,3.26933,156.22506,198.73144,96.54259,0.61797,n/a,
2,73.11149,120.73695,0.00000,0.00000,0.0000,0,1737.10092,410.17612,49.28756,2.66522,5.18795,6.19934,3.63326,0.70033,n/a,
3,847.70789,1209.84519,0.33167,1.29917,0.0391,1,1673.71737,428.31501,68.92780,2.18358,11.74219,19.62411,4.20405,0.35803,n/a,
4,137.70968,288.80189,0.00000,0.00000,0.0000,0,1663.60982,567.43258,50.85126,2.38798,6.40701,9.58793,2.86099,0.44654,n/a,
5,23.06098,74.99425,0.00000,0.00000,0.0000,0,1677.64664,576.32743,53.08139,2.54800,3.53150,4.88584,1.84502,0.52245,n/a,
6,45.63303,110.78437,0.00000,0.00000,0.0000,0,1325.97453,778.98191,50.79624,2.27949,4.43364,5.93833,2.47145,0.55743,n/a,
7,296819.37639,32976.03292,0.58042,4.13562,0.0002,3,1865.19624,867.05637,65.31211,3.27039,82.76204,102.45290,54.00638,0.65255,n/a,
8,360.07492,447.85638,0.00000,0.00000,0.0000,0,1813.31509,884.98487,60.06395,2.63109,8.82669,11.93973,4.82398,0.54652,n/a,
9,112.29700,244.20115,0.00000,0.00000,0.0000,0,1920.35451,895.76170,58.57731,2.40583,5.98581,8.81655,2.75913,0.46094,n/a,
10,16.68350,40.04562,0.00000,0.00000,0.0000,0,759.85011,1188.11252,47.66970,3.00194,3.17027,3.57028,2.49967,0.78847,n/a,
11,29740.85171,10414.10772,0.00000,0.00000,0.0000,0,1450.15677,1357.16006,51.52106,1.66699,38.44014,57.57528,17.13494,0.44576,n/a,
12,155.35674,199.89799,0.00000,0.00000,0.0000,0,837.77752,1347.85100,51.22516,2.75841,6.66976,7.97681,4.66308,0.69914,n/a,
13,20.21463,49.38547,0.00000,0.00000,0.0000,0,1327.16373,1352.99099,48.59575,2.75087,3.37978,3.96483,2.45594,0.72666,n/a,
14,33.88024,74.94884,0.00000,0.00000,0.0000,0,787.41219,1358.26885,49.99031,2.66094,4.01466,4.88436,2.71227,0.67559,n/a,
15,123.79961,266.05668,0.00000,0.00000,0.0000,0,849.15802,1362.61532,50.38703,2.15861,6.18358,9.20263,2.79188,0.45150,n/a,
16,21.11528,51.00450,0.00000,0.00000,0.0000,0,1489.72181,1361.08363,48.05787,2.82961,3.42925,4.02930,2.48393,0.72434,n/a,
17,69.47886,106.85559,0.00000,0.00000,0.0000,0,1497.72224,1370.62106,51.04220,2.97044,5.10056,5.83208,3.90128,0.76487,n/a,
18,66.16504,121.37505,0.00000,0.00000,0.0000,0,806.82584,1393.84287,49.23152,2.60265,5.01815,6.21570,3.27077,0.65179,n/a,
