
-----------------------------------------------------------------
Loaded dataset:, F:\microCT\Axial\AX13_RC02_coarse\AX13_RC02_coarse_Rec_20160822\ReconstructedAnalysis_20160822\VOI_new\ax13_rc02__rec0000

<<<<< Begin of task (3a017f9f-2bea-469a-b7b0-a71a3293329e) >>>>>

CT Analyser, Version: 1.14.4.1
Dataset name, F:\microCT\Axial\AX13_RC02_coarse\AX13_RC02_coarse_Rec_20160822\ReconstructedAnalysis_20160822\VOI_new\ax13_rc02__rec00000092.bmp
File postfix length, 4
File type, BMP
Roi filename, F:\microCT\Axial\AX13_RC02_coarse\ax13_rc02_coarse__rec0000.roi
Image size (W/H), 3464, 3464
Total number of images, 1921
Total Z-position range, 86, 2006
Number of images inside VOI, 1921
Z-position range of VOI, 86, 2006
Z spacing, 1
Pixel size (um), 2.299992

-----------------------------------------------------------------

-----------------------------------------------------------------
[ 08/25/16 23:48:46 ] Thresholding
Mode, Global
Lower grey threshold, 10
Upper grey threshold, 255
[ 08/25/16 23:49:53 ]	Thresholding done

-----------------------------------------------------------------

-----------------------------------------------------------------
[ 08/26/16 00:08:35 ]	2D analysis
Operator identity,User
Computer name,DESKTOP-44596JI
Computation time,00:18:41
Dataset folder,F:\microCT\Axial\AX13_RC02_coarse\AX13_RC02_coarse_Rec_20160822\ReconstructedAnalysis_20160822\VOI_new\
Pixel size,2.29999,um
Lower grey threshold,10
Upper grey threshold,255

Summary 2D data
---------------
Total VOI volume,TV,47793103861.69420,um^3
Object volume,Obj.V,553408024.12390,um^3
Percent object volume,Obj.V/TV,1.15792,
Total VOI surface,TS,95050360.88059,um^2
Peripheral VOI surface,TS(per),59874324.73973,um^2
Object surface,Obj.S,26665534.10682,um^2
Object surface / volume ratio,Obj.S/Obj.V,0.04818,1/um
Mean total crossectional ROI area,T.Ar,10817117.46580,um^2
Mean total crossectional ROI perimeter,T.Pm,13551.48654,um
Mean total crossectional object area,Obj.Ar,125254.04545,um^2
Mean total crossectional object perimeter,Obj.Pm,3767.47011,um
Mean number of objects per slice,Obj.N,13.84800,
Average object area per slice,Av.Obj.Ar,9497.04305,um^2
Average object area-equivalent circle diameter per slice,Av.Obj.ECDa,106.82308,um
Average moment of inertia (x),Av.MMI(x),177168619987.09857,um^4
Average moment of inertia (y),Av.MMI(y),41315361955.38093,um^4
Mean polar moment of inertia,MMI(polar),218483981942.47922,um^4
Average principal moment of inertia (max),Av.MMI(max),185655419199.91602,um^4
Average principal moment of inertia (min),Av.MMI(min),32828562742.56356,um^4
Mean eccentricity,Ecc,0.86924,
Crossectional thickness,Cs.Th,66.49239,um
Structure thickness (plate model),St.Th(pl),41.50736,um
Structure separation (plate model),St.Sp(pl),3543.12767,um
Structure linear density (plate model),St.Li.Dn(pl),0.00028,1/um
Structure diameter (rod model),St.Dm(rd),83.01473,um
Structure separation (rod model),St.Sp(rd),600.67647,um
Structure linear density (rod model),St.Li.Dn(rd),0.00146,1/um
Mean surface convexity index,SCv.I,0.02392,1/um
Closed porosity (percent),Po(cl),0.01372,
Centroid (x),Crd.X,3583.63849,um
Centroid (y),Crd.Y,4235.89405,um
Centroid (z),Crd.Z,2476.77933,um
Mean fractal dimension,FD,0.92138,
Total intersection surface,i.S,813148.86629,um^2
Percent intersection surface,i.S/TS(per),1.35809,

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar Moment of inertia,Product of inertia,Principal moment of inertia (max),Principal moment of inertia (min),Total orientation,Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Pr.In,MMI(max),MMI(min),T.Or,Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,um,,um^2,um^2,,um,um,1/um,um^2,um,1/um,,,um^2,um,,um^2,um^2,,,um,um,um^4,um^4,um^4,um^4,um^4,um^4,°,,um,um,1/um,,um,
ax13_rc02__rec00002006.bmp,4613.78395,15,12839481.28140,222179.77689,1.73044,14194.10922,6210.46959,0.02795,14811.98513,137.32882,0.01541,15,0,0.00000,0.00000,0.00000,12617301.50451,12617301.50451,98.26956,98.26956,3647.78731,3431.58806,594148713500.44763,107532276642.04987,701680990142.49756,38584440649.84081,597189126517.52209,104491863624.97539,85.49446,0.90769,71.55007,4063.23590,0.00024,1.00637,226.91819,
ax13_rc02__rec00002005.bmp,4611.48396,16,12839481.28140,221324.12535,1.72378,14194.10922,6232.68028,0.02816,13832.75783,132.71177,0.01645,16,0,0.00000,0.00000,0.00000,12618157.15606,12618157.15606,98.27622,98.27622,3663.88726,3440.78803,596666147928.08545,106031909080.28265,702698057008.36804,44608307035.88333,600688937341.59485,102009119666.77325,84.84699,0.91024,71.02053,4049.03078,0.00024,0.99747,218.11284,
ax13_rc02__rec00002004.bmp,4609.18397,16,12839481.28140,219882.61037,1.71255,14194.10922,6215.06958,0.02827,13742.66315,132.27888,0.01650,16,0,0.00000,0.00000,0.00000,12619598.67103,12619598.67103,98.28745,98.28745,3682.28719,3449.98800,597669428845.87427,104175170882.00694,701844599727.88123,50797996463.18317,602844077615.48914,99000522112.39215,84.18350,0.91408,70.75789,4060.96779,0.00024,0.99733,212.56017,
ax13_rc02__rec00002003.bmp,4606.88398,18,12839481.28140,218396.13071,1.70097,14194.10922,6205.08038,0.02841,12133.11837,124.29146,0.01864,18,0,0.00000,0.00000,0.00000,12621085.15069,12621085.15069,98.29903,98.29903,3698.38714,3456.88798,598232964762.69617,102107519670.72847,700340484433.42468,56774492864.57040,604647072904.60608,95693411528.81863,83.55433,0.91572,70.39268,4067.98442,0.00024,0.98301,203.75481,
ax13_rc02__rec00002002.bmp,4604.58398,18,12839481.28140,216965.19567,1.68983,14194.10922,6167.62668,0.02843,12053.62198,123.88361,0.01880,18,0,0.00000,0.00000,0.00000,12622516.08573,12622516.08573,98.31017,98.31017,3714.48708,3466.08794,599402539461.08032,99822264905.85103,699224804366.93140,62391769560.25470,607076662984.90100,92148141382.03038,82.98790,0.91843,70.35614,4093.15179,0.00024,0.98374,199.15483,
ax13_rc02__rec00002001.bmp,4602.28399,18,12839481.28140,214566.85860,1.67115,14194.10922,6069.02589,0.02829,11920.38103,123.19700,0.01911,18,0,0.00000,0.00000,0.00000,12624914.42280,12624914.42280,98.32885,98.32885,3732.88702,3470.68793,598082747374.80884,97200364442.34172,695283111817.15051,68050679684.75181,607163588477.26367,88119523339.88689,82.39922,0.92283,70.70883,4160.44177,0.00024,0.97864,191.02313,
ax13_rc02__rec00002000.bmp,4599.98400,16,12839481.28140,212071.31846,1.65171,14194.10922,5878.65658,0.02772,13254.45740,129.90804,0.01745,16,0,0.00000,0.00000,0.00000,12627409.96294,12627409.96294,98.34829,98.34829,3751.28695,3477.58790,596511251077.24670,94038320114.13086,690549571191.37756,73560889028.74808,607058982946.03650,83490588245.34102,81.84011,0.92654,72.14959,4296.01892,0.00023,0.99014,177.89683,
ax13_rc02__rec00001999.bmp,4597.68401,16,12839481.28140,211051.67806,1.64377,14194.10922,5909.60492,0.02800,13190.72988,129.59537,0.01742,16,0,0.00000,0.00000,0.00000,12628429.60335,12628429.60335,98.35623,98.35623,3767.38690,3491.38786,597491421181.54041,91003485547.23799,688494906728.77844,78330135797.43306,609328794484.08899,79166112244.68942,81.40640,0.93158,71.42666,4273.86595,0.00023,0.98732,158.93882,
