Results of individual 3D analysis
Dataset name, F:\microCT\Axial\AX13_RC02_coarse\AX13_RC02_coarse_Rec_20160822\ReconstructedAnalysis_20160822\VOI_new\ax13_rc02__rec0000
Number of objects, 2045
#,Object volume,Object surface,Volume of pores,Surface of pores,Porosity,Number of pores,Centroid x,Centroid y,Centroid z,Structure model index,Volume-equivalent sphere diameter,Surface-equivalent sphere diameter,Sauter diameter,Sphericity,Density,
,Obj.V,Obj.S,Po.V,Po.S,Po,Po.N,Crd.X,Crd.Y,Crd.Z,SMI,ESDv,ESDs,Sau.Dm,Sph,Dens,
,um^3,um^2,um^3,um^2,,,um,um,um,,um,um,um,,Index,
1,3719.00753,1516.13771,0.00000,0.00000,0.0000,0,3492.52690,1888.80454,200.80756,2.74581,19.22248,21.96820,14.71769,0.76565,n/a,
2,8.11125,24.12476,0.00000,0.00000,0.0000,0,4432.08458,2655.34076,197.79931,2.64967,2.49285,2.77113,2.01733,0.80924,n/a,
3,121.66873,179.98492,0.00000,0.00000,0.0000,0,4434.71315,2668.64786,197.96360,2.56366,6.14790,7.56908,4.05596,0.65973,n/a,
4,2.02781,9.16249,0.00000,0.00000,0.0000,0,4438.98456,2677.19069,197.79931,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
5,40491.35348,13863.82477,0.00000,0.00000,0.0000,0,3053.83132,3086.38522,200.57587,1.18742,42.60441,66.43036,17.52389,0.41132,n/a,
6,367117.65064,30243.47154,0.00000,0.00000,0.0000,0,4572.10887,3204.70662,258.30330,3.08785,88.83870,98.11624,72.83244,0.81983,n/a,
7,1189547.77565,86364.98578,0.00000,0.00000,0.0000,0,2509.22469,3366.49269,265.30907,2.58037,131.46024,165.80358,82.64098,0.62864,n/a,
8,9887.10520,3253.25345,0.00000,0.00000,0.0000,0,4358.06767,3800.29041,201.32578,2.39341,26.62912,32.17985,18.23486,0.68477,n/a,
9,8486.39395,2569.69917,0.00000,0.00000,0.0000,0,2747.04566,4206.78903,202.38310,2.89112,25.30705,28.60001,19.81491,0.78298,n/a,
10,515318.27552,48574.97799,0.00000,0.00000,0.0000,0,3543.45977,4454.06875,213.88418,2.33340,99.47004,124.34587,63.65231,0.63991,n/a,
11,601844.00705,39718.68177,0.00000,0.00000,0.0000,0,4043.02542,4587.89117,229.65954,3.29893,104.75187,112.44042,90.91601,0.86792,n/a,
12,3242060.57705,152849.32729,0.00000,0.00000,0.0000,0,4557.57478,5111.51887,315.62208,2.61540,183.62882,220.57528,127.26496,0.69306,n/a,
13,3020.73040,1944.01839,0.00000,0.00000,0.0000,0,4473.03843,5114.01909,203.08142,2.10487,17.93513,24.87570,9.32315,0.51983,n/a,
14,4994772.60298,169670.52271,0.00000,0.00000,0.0000,0,3288.96418,5827.83462,261.35243,3.21195,212.08292,232.39579,176.62842,0.83283,n/a,
15,2903086.27253,142156.93225,0.00000,0.00000,0.0000,0,3407.85349,6140.68508,233.27298,2.58903,176.99206,212.72037,122.53020,0.69229,n/a,
16,657831.39421,50036.65526,0.00000,0.00000,0.0000,0,3564.73542,6378.48999,225.34648,2.77396,107.90428,126.20286,78.88194,0.73104,n/a,
17,2.02781,9.16249,0.00000,0.00000,0.0000,0,4438.98456,2670.29071,202.39930,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
18,8135.07549,3058.89601,0.00000,0.00000,0.0000,0,3635.60475,6479.22878,212.30876,2.36704,24.95290,31.20380,15.95689,0.63948,n/a,
19,359.93666,358.63130,0.00000,0.00000,0.0000,0,4447.98739,5141.40212,214.35925,2.59143,8.82556,10.68438,6.02184,0.68232,n/a,
20,607.27905,470.86647,0.00000,0.00000,0.0000,0,3596.16071,6295.85846,215.37782,2.76838,10.50662,12.24261,7.73823,0.73651,n/a,
21,329.01253,255.31704,0.00000,0.00000,0.0000,0,3213.08882,2271.05662,217.90569,3.43700,8.56521,9.01498,7.73186,0.90271,n/a,
22,14.19469,39.08704,0.00000,0.00000,0.0000,0,3712.18709,6154.77859,213.89926,2.49284,3.00406,3.52729,2.17894,0.72533,n/a,
23,252.46262,332.46440,0.00000,0.00000,0.0000,0,3710.65376,6172.32668,216.02888,2.37769,7.84151,10.28721,4.55620,0.58104,n/a,
24,865.87580,600.09680,0.00000,0.00000,0.0000,0,3549.62483,4515.50352,226.22485,2.85949,11.82549,13.82088,8.65736,0.73209,n/a,
25,462.84813,337.11771,0.00000,0.00000,0.0000,0,4122.70892,4605.86770,224.65038,3.29408,9.59725,10.35895,8.23774,0.85834,n/a,
26,2.02781,9.16249,0.00000,0.00000,0.0000,0,4579.28407,5007.08258,220.79923,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
27,2.02781,9.16249,0.00000,0.00000,0.0000,0,3541.98768,6143.27863,220.79923,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
28,2.02781,9.16249,0.00000,0.00000,0.0000,0,3445.38802,5952.37930,236.89918,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
29,2.02781,9.16249,0.00000,0.00000,0.0000,0,3447.68801,5954.67929,236.89918,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
30,2.02781,9.16249,0.00000,0.00000,0.0000,0,3452.28799,5961.57926,236.89918,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
31,2.02781,9.16249,0.00000,0.00000,0.0000,0,3454.58798,5963.87926,236.89918,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
32,596.37956,886.21725,0.00000,0.00000,0.0000,0,3471.06554,5991.58214,237.79171,2.28758,10.44339,16.79559,4.03770,0.38663,n/a,
33,2.02781,9.16249,0.00000,0.00000,0.0000,0,3489.08786,6023.67905,236.89918,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
34,2.02781,9.16249,0.00000,0.00000,0.0000,0,3491.38786,6028.27903,236.89918,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
35,2.02781,9.16249,0.00000,0.00000,0.0000,0,3493.68785,6032.87902,236.89918,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
36,14650.43600,3206.74849,0.00000,0.00000,0.0000,0,4126.70683,3059.59740,258.39787,3.48224,30.35876,31.94902,27.41176,0.90293,n/a,
37,1902763.08011,82019.05472,0.00000,0.00000,0.0000,0,3801.40479,2383.05432,327.20984,3.49302,153.74300,161.57808,139.19422,0.90537,n/a,
38,5634602.60157,174539.10811,0.00000,0.00000,0.0000,0,3789.35662,4408.99656,385.46664,3.37461,220.77754,235.70644,193.69651,0.87734,n/a,
39,120.14787,135.08717,0.00000,0.00000,0.0000,0,4286.30048,2516.89894,266.97599,3.24899,6.12218,6.55741,5.33646,0.87166,n/a,
40,38019.75461,17071.13266,0.00000,0.00000,0.0000,0,3374.48447,6344.73758,290.93419,1.39240,41.71929,73.71506,13.36282,0.32030,n/a,
41,20810.42243,8128.16741,0.00000,0.00000,0.0000,0,3594.65062,6302.46507,282.20955,1.60177,34.12668,50.86527,15.36171,0.45014,n/a,
42,367.54096,280.87723,0.00000,0.00000,0.0000,0,4044.40064,4548.57241,286.82253,3.31177,8.88728,9.45547,7.85128,0.88343,n/a,
43,335.60291,316.81138,0.00000,0.00000,0.0000,0,3522.94087,6215.58463,286.49275,2.63577,8.62202,10.04212,6.35589,0.73717,n/a,
44,24686.58540,4668.06892,0.00000,0.00000,0.0000,0,2862.39175,3676.93516,306.34972,3.36842,36.12608,38.54728,31.73036,0.87832,n/a,
45,290525.00495,79032.22353,0.00000,0.00000,0.0000,0,3489.33296,6395.50988,308.71712,1.52702,82.17284,158.60876,22.05619,0.26841,n/a,
46,4953.94514,5432.87695,0.00000,0.00000,0.0000,0,3487.21754,5942.72438,289.79899,1.63695,21.15035,41.58532,5.47107,0.25868,n/a,
47,4175.26527,4833.14015,0.00000,0.00000,0.0000,0,3646.69263,6161.04389,289.79899,1.85965,19.97845,39.22291,5.18330,0.25944,n/a,
48,32.44499,83.97386,0.00000,0.00000,0.0000,0,3721.38706,6344.52793,289.79899,2.31205,3.95715,5.17008,2.31822,0.58583,n/a,
49,6058.08887,5940.35061,0.00000,0.00000,0.0000,0,3710.44903,6434.33652,289.79899,0.99499,22.61756,43.48416,6.11892,0.27054,n/a,
50,138.90513,189.79111,0.00000,0.00000,0.0000,0,3709.88710,6407.93104,289.79899,2.48419,6.42549,7.77254,4.39131,0.68342,n/a,
51,240.29574,242.32353,0.00000,0.00000,0.0000,0,3395.36319,6463.55252,299.66979,2.86938,7.71346,8.78260,5.94979,0.77135,n/a,
52,2.02781,9.16249,0.00000,0.00000,0.0000,0,3401.68817,6469.87750,301.29895,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
53,6076.84613,1789.10646,0.00000,0.00000,0.0000,0,4072.62740,4541.34773,324.43417,3.45296,22.64087,23.86400,20.37949,0.90012,n/a,
54,65393.90087,8806.41434,0.00000,0.00000,0.0000,0,4602.00278,3114.51896,343.62767,3.41614,49.98575,52.94496,44.55427,0.89134,n/a,
55,979.94023,543.81635,0.00000,0.00000,0.0000,0,3690.29751,5553.31747,334.37125,3.36928,12.32349,13.15683,10.81181,0.87733,n/a,
56,9799.90928,2431.87373,0.00000,0.00000,0.0000,0,2936.47326,3632.08149,350.67418,3.47158,26.55061,27.82246,24.17866,0.91066,n/a,
57,489.51386,535.01838,0.00000,0.00000,0.0000,0,3285.22049,6409.39260,349.45198,1.89353,9.77812,13.04997,5.48969,0.56143,n/a,
58,3996.81779,1334.68782,0.00000,0.00000,0.0000,0,3317.20953,2297.63058,363.31684,3.47960,19.68968,20.61175,17.96743,0.91253,n/a,
59,784001.71555,58752.28132,0.00000,0.00000,0.0000,0,2386.97603,4217.05928,470.55374,2.54400,114.40354,136.75318,80.06515,0.69985,n/a,
60,4984.86928,1573.38308,0.00000,0.00000,0.0000,0,2832.93144,5720.40946,396.43848,3.46110,21.19427,22.37908,19.00949,0.89692,n/a,
61,8243.05648,2192.48053,0.00000,0.00000,0.0000,0,3835.19159,5888.52030,402.44185,3.45825,25.06282,26.41757,22.55817,0.90007,n/a,
62,16734535.16963,357003.71143,0.00000,0.00000,0.0000,0,2985.21965,5335.18483,566.91511,3.38525,317.34988,337.10208,281.24977,0.88625,n/a,
63,5319430.40147,162039.23762,0.00000,0.00000,0.0000,0,3309.32174,1919.80773,513.43884,3.52553,216.58191,227.10943,196.96823,0.90944,n/a,
64,2.02781,9.16249,0.00000,0.00000,0.0000,0,2424.19157,3415.48812,404.79859,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
65,4390856.62814,161741.11434,0.00000,0.00000,0.0000,0,4265.99429,2118.51679,550.78742,3.06433,203.16562,226.90041,162.88462,0.80173,n/a,
66,1119813.64699,57379.85735,0.00000,0.00000,0.0000,0,2589.80201,3828.39899,482.31274,3.49714,128.83950,135.14650,117.09478,0.90884,n/a,
67,40182.61908,6354.40269,0.00000,0.00000,0.0000,0,3180.80932,6294.12197,439.55326,3.40995,42.49585,44.97409,37.94152,0.89283,n/a,
68,58872.25414,18485.69850,0.00000,0.00000,0.0000,0,2459.64813,3108.55772,479.28870,1.42849,48.26556,76.70841,19.10848,0.39590,n/a,
69,2801.42252,1066.34283,0.00000,0.00000,0.0000,0,4073.94985,2641.64186,441.42524,3.46946,17.49014,18.42356,15.76279,0.90124,n/a,
70,606.31584,380.75374,0.00000,0.00000,0.0000,0,4753.23162,3863.13471,459.14655,3.44975,10.50107,11.00898,9.55446,0.90986,n/a,
71,8.11125,24.12476,0.00000,0.00000,0.0000,0,2449.49148,3155.58902,465.74838,2.64967,2.49285,2.77113,2.01733,0.80924,n/a,
72,14.19469,39.08704,0.00000,0.00000,0.0000,0,2447.19149,3155.58902,473.79835,2.49284,3.00406,3.52729,2.17894,0.72533,n/a,
73,4494350.12873,145005.83337,0.00000,0.00000,0.0000,0,3947.19194,1908.04654,586.35460,3.52926,204.74946,214.84131,185.96563,0.90826,n/a,
74,8.11125,24.12476,0.00000,0.00000,0.0000,0,2444.89150,3155.58902,479.54833,2.64967,2.49285,2.77113,2.01733,0.80924,n/a,
75,2.02781,9.16249,0.00000,0.00000,0.0000,0,2442.59150,3155.58902,485.29831,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
76,3379.75455,1378.15808,0.00000,0.00000,0.0000,0,2800.15670,2461.81912,494.64153,3.41268,18.61925,20.94472,14.71422,0.79027,n/a,
77,2005.50624,857.34098,0.00000,0.00000,0.0000,0,2697.63655,2504.03606,494.71223,3.43110,15.64619,16.51969,14.03530,0.89704,n/a,
78,2.02781,9.16249,0.00000,0.00000,0.0000,0,2442.59150,3153.28903,489.89830,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
79,1493302.17652,75279.88753,0.00000,0.00000,0.0000,0,4020.86636,5232.05950,565.75906,3.58110,141.81310,154.79771,119.02001,0.83927,n/a,
80,999293.67218,53245.35879,0.00000,0.00000,0.0000,0,3485.20778,1951.14866,575.24715,3.49898,124.04088,130.18650,112.60628,0.90782,n/a,
81,3477.19092,1208.51721,0.00000,0.00000,0.0000,0,4670.99430,3019.81126,522.38764,3.51972,18.79648,19.61334,17.26342,0.91844,n/a,
82,20.27812,54.04931,0.00000,0.00000,0.0000,0,4277.98512,5802.87982,523.24818,2.40431,3.38332,4.14782,2.25107,0.66534,n/a,
83,8.11125,24.12476,0.00000,0.00000,0.0000,0,2435.69153,3133.73910,522.09818,2.64967,2.49285,2.77113,2.01733,0.80924,n/a,
84,47.65359,78.06203,0.00000,0.00000,0.0000,0,3541.98768,3988.56946,524.01484,2.91028,4.49813,4.98477,3.66275,0.81428,n/a,
85,372311.38457,29520.54385,0.00000,0.00000,0.0000,0,4220.55520,4864.47738,576.51329,3.25186,89.25569,96.93648,75.67165,0.84781,n/a,
86,430756.48008,30723.87077,0.00000,0.00000,0.0000,0,3521.31481,1653.73305,580.79509,3.42980,93.70104,98.89243,84.12153,0.89777,n/a,
87,8.11125,24.12476,0.00000,0.00000,0.0000,0,2437.99152,3110.73918,531.29815,2.64967,2.49285,2.77113,2.01733,0.80924,n/a,
88,1778159.59854,91187.38585,0.00000,0.00000,0.0000,0,4357.24019,5915.70350,631.73127,2.91887,150.31098,170.36973,117.00037,0.77839,n/a,
89,705828.18749,42062.62149,0.00000,0.00000,0.0000,0,2511.78263,3909.59344,589.66658,3.51016,110.46723,115.71062,100.68248,0.91142,n/a,
90,11023.18697,2664.62761,0.00000,0.00000,0.0000,0,2792.14274,5774.60919,557.04355,3.45494,27.61232,29.12348,24.82115,0.89892,n/a,
91,495237.86547,44489.38967,0.00000,0.00000,0.0000,0,4852.31989,4136.05798,635.70543,2.62752,98.16087,119.00173,66.78957,0.68041,n/a,
92,779.69378,449.12162,0.00000,0.00000,0.0000,0,4090.21911,4461.15115,564.09804,3.47825,11.41936,11.95658,10.41625,0.91216,n/a,
93,2280.27479,936.28878,0.00000,0.00000,0.0000,0,3970.14004,3446.83878,567.64982,3.39893,16.33038,17.26354,14.61264,0.89481,n/a,
94,1821.48228,804.18836,0.00000,0.00000,0.0000,0,4294.93474,2312.63463,577.76678,3.44255,15.15219,15.99941,13.58997,0.89690,n/a,
95,122.68264,133.79269,0.00000,0.00000,0.0000,0,3170.27359,4236.93911,573.05185,3.32270,6.16493,6.52591,5.50176,0.89243,n/a,
96,84668.25558,10387.58395,0.00000,0.00000,0.0000,0,3398.37141,4502.75359,593.41440,3.43062,54.48045,57.50192,48.90546,0.89767,n/a,
97,2.02781,9.16249,0.00000,0.00000,0.0000,0,4848.38314,4089.38578,581.89798,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
98,940.39790,519.29381,0.00000,0.00000,0.0000,0,4306.25008,2374.11825,590.01722,3.42703,12.15545,12.85676,10.86550,0.89388,n/a,
99,913490.85569,50219.96417,0.00000,0.00000,0.0000,0,3818.57474,2245.23211,658.58798,3.49360,120.38393,126.43382,109.13877,0.90659,n/a,
100,79.08467,141.09910,0.00000,0.00000,0.0000,0,4023.83600,5702.37017,603.28790,2.24526,5.32555,6.70173,3.36294,0.63147,n/a,
101,628.11482,394.66360,0.00000,0.00000,0.0000,0,3359.84445,4261.23956,612.36278,3.43876,10.62544,11.20827,9.54912,0.89870,n/a,
102,154.46859,216.65156,0.00000,0.00000,0.0000,0,4017.81544,5621.58633,611.39199,2.19024,6.65703,8.30436,4.27789,0.64261,n/a,
103,2453.14578,983.25153,0.00000,0.00000,0.0000,0,3466.94631,4006.32195,616.84905,3.39699,16.73304,17.69120,14.96959,0.89461,n/a,
104,2.02781,9.16249,0.00000,0.00000,0.0000,0,4864.48308,4080.18581,611.79787,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
105,8.11125,24.12476,0.00000,0.00000,0.0000,0,4866.78307,4080.18581,617.54785,2.64967,2.49285,2.77113,2.01733,0.80924,n/a,
106,2848.06220,1076.41293,0.00000,0.00000,0.0000,0,2716.85129,2966.52398,625.66435,3.45543,17.58667,18.51035,15.87530,0.90269,n/a,
107,666.64325,404.49164,0.00000,0.00000,0.0000,0,3786.68344,5649.91086,622.24529,3.44678,10.83839,11.34697,9.88861,0.91237,n/a,
108,2.02781,9.16249,0.00000,0.00000,0.0000,0,3229.18877,6373.27783,618.69785,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
109,229397.31672,29490.37095,0.00000,0.00000,0.0000,0,3255.49208,6368.56495,682.21843,2.31081,75.95037,96.88693,46.67232,0.61451,n/a,
110,8.11125,24.12476,0.00000,0.00000,0.0000,0,4869.08306,4080.18581,622.14784,2.64967,2.49285,2.77113,2.01733,0.80924,n/a,
111,4587537.73021,150281.33800,0.00000,0.00000,0.0000,0,2788.96037,5007.56871,732.18812,3.41206,206.15491,218.71451,183.15798,0.88845,n/a,
112,730.01238,505.67304,0.00000,0.00000,0.0000,0,4004.59971,5633.93495,627.09630,2.90432,11.17148,12.68703,8.66187,0.77536,n/a,
113,2500.79936,979.14722,0.00000,0.00000,0.0000,0,3466.94099,4026.96205,632.08747,3.46595,16.84070,17.65424,15.32435,0.90996,n/a,
114,10209.02039,2545.15734,0.00000,0.00000,0.0000,0,3456.09338,3851.06228,643.54911,3.42589,26.91505,28.46311,24.06693,0.89418,n/a,
115,337.12377,263.06209,0.00000,0.00000,0.0000,0,2636.86895,3322.33844,636.88216,3.40061,8.63502,9.15070,7.68922,0.89047,n/a,
116,1697.27879,1014.76273,0.00000,0.00000,0.0000,0,3984.60493,5642.55957,648.81385,2.72208,14.79965,17.97245,10.03552,0.67809,n/a,
117,67700.53722,9066.84030,0.00000,0.00000,0.0000,0,3316.71030,4092.22125,668.18431,3.39239,50.56669,53.72211,44.80097,0.88598,n/a,
118,40613.52916,6294.73914,0.00000,0.00000,0.0000,0,2506.28032,4356.82320,667.19151,3.49009,42.64722,44.76246,38.71188,0.90772,n/a,
119,753152.25409,44287.87920,0.00000,0.00000,0.0000,0,4556.48322,5374.32257,707.52331,3.46636,112.88287,118.73192,102.03499,0.90390,n/a,
120,4529.62544,1472.23392,0.00000,0.00000,0.0000,0,3433.29198,4086.92322,666.86522,3.44947,20.52837,21.64779,18.46021,0.89925,n/a,
121,2304.10158,926.19363,0.00000,0.00000,0.0000,0,3210.39188,4141.51504,664.79109,3.49501,16.38706,17.17022,14.92626,0.91086,n/a,
122,168946.96845,25537.41980,0.00000,0.00000,0.0000,0,3923.48718,6364.60591,673.07538,2.42459,68.58839,90.15993,39.69398,0.57873,n/a,
123,17794.55877,3687.78359,0.00000,0.00000,0.0000,0,3517.37138,3971.90088,679.66243,3.41190,32.39139,34.26161,28.95163,0.89381,n/a,
124,8463.07411,2226.73348,0.00000,0.00000,0.0000,0,4469.48629,3308.45228,675.79751,3.45061,25.28385,26.62313,22.80401,0.90192,n/a,
125,3152.23402,1137.83134,0.00000,0.00000,0.0000,0,2532.75636,3519.48738,672.25234,3.50034,18.19170,19.03111,16.62233,0.91373,n/a,
126,3576.04677,1267.35372,0.00000,0.00000,0.0000,0,3409.83302,3908.21017,674.62637,3.41283,18.97295,20.08510,16.92999,0.89232,n/a,
127,18706.06035,3796.87617,0.00000,0.00000,0.0000,0,2655.74730,5075.88981,683.26053,3.44463,32.93527,34.76468,29.56019,0.89752,n/a,
128,711227.23741,43325.65280,0.00000,0.00000,0.0000,0,3794.04958,3566.84084,731.62028,3.16352,110.74818,117.43502,98.49508,0.88936,n/a,
129,758.90871,450.92593,0.00000,0.00000,0.0000,0,3354.80892,2724.06994,684.48438,3.41102,11.31697,11.98058,10.09800,0.89229,n/a,
130,258.85022,317.56495,0.00000,0.00000,0.0000,0,3941.41962,5629.61375,683.94947,2.22483,7.90709,10.05406,4.89066,0.61852,n/a,
131,195.68387,180.49474,0.00000,0.00000,0.0000,0,3049.78939,4215.64323,685.88182,3.34931,7.20309,7.57979,6.50492,0.90307,n/a,
132,293.47512,300.92813,0.00000,0.00000,0.0000,0,3925.76910,5613.40806,690.71139,2.75522,8.24500,9.78715,5.85140,0.70969,n/a,
133,41.57015,79.08169,0.00000,0.00000,0.0000,0,4475.78443,5835.84637,691.91426,2.73071,4.29795,5.01722,3.15397,0.73383,n/a,
134,2.02781,9.16249,0.00000,0.00000,0.0000,0,3914.58638,6396.27775,696.89758,2.54034,1.57040,1.70778,1.32790,0.84558,n/a,
135,1532.41766,1399.91996,0.00000,0.00000,0.0000,0,3906.64096,5617.27207,709.71641,2.00401,14.30407,21.10944,6.56788,0.45916,n/a,
136,1346126.61070,66391.07702,0.00000,0.00000,0.0000,0,4106.14361,4284.42130,776.50793,3.40142,136.99218,145.37172,121.65429,0.88804,n/a,
