
-----------------------------------------------------------------
Loaded dataset:, F:\microCT\Axial\AX13_RC03\AX13_RC03_Rec_20160908\ReconstructedAnalysis_20160909\VOI_new\ax13_rc03__rec0000

<<<<< Begin of task (d134db21-c0b6-4718-a999-5a5dbca53b08) >>>>>

CT Analyser, Version: 1.14.4.1
Dataset name, F:\microCT\Axial\AX13_RC03\AX13_RC03_Rec_20160908\ReconstructedAnalysis_20160909\VOI_new\ax13_rc03__rec00002294.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 3916, 3888
Total number of images, 1739
Total Z-position range, 556, 2294
Number of images inside VOI, 1739
Z-position range of VOI, 556, 2294
Z spacing, 1
Pixel size (um), 1.500189

-----------------------------------------------------------------

-----------------------------------------------------------------
[ 09/12/16 16:59:55 ] Thresholding
Mode, Global
Lower grey threshold, 10
Upper grey threshold, 255
[ 09/12/16 17:01:12 ]	Thresholding done

-----------------------------------------------------------------

-----------------------------------------------------------------
[ 09/12/16 17:23:28 ]	2D analysis
Operator identity,User
Computer name,DESKTOP-44596JI
Computation time,00:22:16
Dataset folder,F:\microCT\Axial\AX13_RC03\AX13_RC03_Rec_20160908\ReconstructedAnalysis_20160909\VOI_new\
Pixel size,1.50019,um
Lower grey threshold,10
Upper grey threshold,255

Summary 2D data
---------------
Total VOI volume,TV,16276453180.90121,um^3
Object volume,Obj.V,184262045.98938,um^3
Percent object volume,Obj.V/TV,1.13208,
Total VOI surface,TS,49778835.12297,um^2
Peripheral VOI surface,TS(per),28208755.30252,um^2
Object surface,Obj.S,11797193.14631,um^2
Object surface / volume ratio,Obj.S/Obj.V,0.06402,1/um
Mean total crossectional ROI area,T.Ar,6238988.92320,um^2
Mean total crossectional ROI perimeter,T.Pm,10812.80485,um
Mean total crossectional object area,Obj.Ar,70630.18282,um^2
Mean total crossectional object perimeter,Obj.Pm,2829.05143,um
Mean number of objects per slice,Obj.N,20.07361,
Average object area per slice,Av.Obj.Ar,4537.96728,um^2
Average object area-equivalent circle diameter per slice,Av.Obj.ECDa,71.81198,um
Average moment of inertia (x),Av.MMI(x),34329819990.75647,um^4
Average moment of inertia (y),Av.MMI(y),26888505778.33404,um^4
Mean polar moment of inertia,MMI(polar),61218325769.09036,um^4
Average principal moment of inertia (max),Av.MMI(max),44116945351.17558,um^4
Average principal moment of inertia (min),Av.MMI(min),17101380417.91491,um^4
Mean eccentricity,Ecc,0.78439,
Crossectional thickness,Cs.Th,49.93206,um
Structure thickness (plate model),St.Th(pl),31.23829,um
Structure separation (plate model),St.Sp(pl),2728.13896,um
Structure linear density (plate model),St.Li.Dn(pl),0.00036,1/um
Structure diameter (rod model),St.Dm(rd),62.47657,um
Structure separation (rod model),St.Sp(rd),457.90759,um
Structure linear density (rod model),St.Li.Dn(rd),0.00192,1/um
Mean surface convexity index,SCv.I,0.03955,1/um
Closed porosity (percent),Po(cl),0.16888,
Centroid (x),Crd.X,2869.67062,um
Centroid (y),Crd.Y,3104.76818,um
Centroid (z),Crd.Z,2279.39443,um
Mean fractal dimension,FD,0.92888,
Total intersection surface,i.S,252417.46618,um^2
Percent intersection surface,i.S/TS(per),0.89482,

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar Moment of inertia,Product of inertia,Principal moment of inertia (max),Principal moment of inertia (min),Total orientation,Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Pr.In,MMI(max),MMI(min),T.Or,Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,um,,um^2,um^2,,um,um,1/um,um^2,um,1/um,,,um^2,um,,um^2,um^2,,,um,um,um^4,um^4,um^4,um^4,um^4,um^4,°,,um,um,1/um,,um,
ax13_rc03__rec00002294.bmp,3441.43357,10,6769136.24999,58531.62218,0.86468,11141.96150,2392.90991,0.04088,5853.16222,86.32773,0.02202,9,1,3.37585,7.24355,0.00577,6710601.25196,6710604.62781,99.13527,99.13532,2577.32470,3870.48762,24211563811.40252,33554994890.47708,57766558701.87960,5526677849.57437,36119928723.08228,21646629978.79733,24.89604,0.63498,48.92087,5608.73989,0.00018,0.96777,0.00000,
ax13_rc03__rec00002293.bmp,3439.93338,11,6769136.24999,58536.68596,0.86476,11141.96150,2415.67014,0.04127,5321.51691,82.31382,0.02393,11,0,0.00000,0.00000,0.00000,6710599.56403,6710599.56403,99.13524,99.13524,2562.32281,3855.48573,25148330216.39281,32344684525.18771,57493014741.58051,5202673839.09046,35072224240.07741,22420790501.50311,27.66610,0.61200,48.46414,5555.89065,0.00018,0.97297,0.00000,
ax13_rc03__rec00002292.bmp,3438.43319,13,6769136.24999,58623.89543,0.86605,11141.96150,2465.13221,0.04205,4509.53042,75.77409,0.02395,12,1,3.37585,7.24355,0.00576,6710508.97871,6710512.35456,99.13390,99.13395,2548.82111,3838.98365,26135999113.33900,31109006369.21096,57245005482.54997,4793147766.91146,34022221790.18735,23222783692.36261,31.29071,0.57056,47.56248,5444.34276,0.00018,0.95666,0.00000,
ax13_rc03__rec00002291.bmp,3436.93300,15,6769170.57114,58529.09029,0.86464,11140.20391,2487.22688,0.04250,3901.93935,70.48477,0.02425,15,0,0.00000,0.00000,0.00000,6710641.48084,6710641.48084,99.13536,99.13536,2533.81922,3822.48157,27016212514.18969,29696906885.79297,56713119399.98265,4376587084.20110,32933790859.11824,23779328540.86442,36.48629,0.53378,47.06373,5396.08312,0.00018,0.95474,0.00000,
ax13_rc03__rec00002290.bmp,3435.43281,15,6769248.49702,58424.43893,0.86309,11159.90131,2461.76783,0.04214,3894.96260,70.42173,0.03547,15,0,0.00000,0.00000,0.00000,6710824.05809,6710824.05809,99.13691,99.13691,2521.81771,3807.47968,27811004769.31555,28481269986.54678,56292274755.86233,3959247390.25197,32119543191.91173,24172731563.95060,42.58085,0.50114,47.46543,5452.03653,0.00018,0.93355,0.00000,
ax13_rc03__rec00002289.bmp,3433.93262,13,6769332.04932,58195.72505,0.85970,11159.02252,2413.39777,0.04147,4476.59423,75.49687,0.03079,12,1,7.87698,10.24393,0.01353,6711128.44728,6711136.32427,99.14019,99.14030,2508.31601,3789.47741,28627727654.41839,27141314774.87843,55769042429.29682,3445222267.58361,31408994549.08712,24360047880.20970,51.08668,0.48340,48.22721,5561.56669,0.00018,0.92559,0.00000,
ax13_rc03__rec00002288.bmp,3432.43243,14,6769422.91596,57970.66835,0.85636,11142.32550,2388.96829,0.04121,4140.76202,72.60979,0.03672,14,0,0.00000,0.00000,0.00000,6711452.24762,6711452.24762,99.14364,99.14364,2497.81468,3775.97571,29143070315.35810,25973421234.99122,55116491550.34932,3011644061.44821,30961430867.99931,24155060682.35001,58.87740,0.47786,48.53197,5618.70351,0.00018,0.92492,0.00000,
ax13_rc03__rec00002287.bmp,3430.93224,15,6769487.05713,57792.59223,0.85372,11144.81110,2359.11528,0.04082,3852.83948,70.03990,0.04030,15,0,0.00000,0.00000,0.00000,6711694.46489,6711694.46489,99.14628,99.14628,2491.81393,3762.47401,29557787067.61138,25120745984.08293,54678533051.69431,2611165665.54271,30765637715.18712,23912895336.50719,65.17609,0.47844,48.99514,5690.00974,0.00017,0.92128,0.00000,
