Results of individual 3D analysis
Dataset name, F:\microCT\Axial\AX13_RC03\AX13_RC03_Rec_20160908\ReconstructedAnalysis_20160909\VOI_new\ax13_rc03__rec0000
Number of objects, 2869
#,Object volume,Object surface,Volume of pores,Surface of pores,Porosity,Number of pores,Centroid x,Centroid y,Centroid z,Structure model index,Volume-equivalent sphere diameter,Surface-equivalent sphere diameter,Sauter diameter,Sphericity,Density,
,Obj.V,Obj.S,Po.V,Po.S,Po,Po.N,Crd.X,Crd.Y,Crd.Z,SMI,ESDv,ESDs,Sau.Dm,Sph,Dens,
,um^3,um^2,um^3,um^2,,,um,um,um,,um,um,um,,Index,
1,520254.70204,35462.00222,0.00000,0.00000,0.0000,0,2558.24986,1574.39176,880.82066,3.67037,99.78665,106.24456,88.02459,0.88213,n/a,
2,2621318.74165,121016.27130,234.25728,391.85055,0.0089,1,2984.52547,2282.14332,874.51353,2.61829,171.06995,196.26685,129.96527,0.75972,n/a,
3,2201.47257,1086.69441,0.00000,0.00000,0.0000,0,1444.99831,2783.34990,836.66489,2.71897,16.14005,18.59854,12.15506,0.75310,n/a,
4,89349.20299,12538.02781,0.00000,0.00000,0.0000,0,3474.28934,2938.86165,848.54766,3.11687,55.46649,63.17419,42.75754,0.77087,n/a,
5,275.86988,292.53157,0.00000,0.00000,0.0000,0,2775.38299,3110.59189,838.80568,2.91549,8.07672,9.64965,5.65826,0.70056,n/a,
6,1647.05993,764.23761,0.00000,0.00000,0.0000,0,3786.59452,3720.33015,839.64795,3.36365,14.65223,15.59694,12.93100,0.88253,n/a,
7,694548.20745,53146.71359,0.00000,0.00000,0.0000,0,3230.62058,3842.54490,855.74524,2.53624,109.87560,130.06585,78.41104,0.71363,n/a,
8,169.09515,174.60545,0.00000,0.00000,0.0000,0,3760.72834,3842.61138,842.39704,3.21788,6.86084,7.45511,5.81065,0.84693,n/a,
9,141.10020,156.71019,0.00000,0.00000,0.0000,0,1504.37038,2718.82125,845.18095,3.21657,6.45916,7.06275,5.40234,0.83638,n/a,
10,665.54839,415.12340,0.00000,0.00000,0.0000,0,1500.75249,2861.38000,847.86291,3.41148,10.83246,11.49512,9.61953,0.88803,n/a,
11,271.36818,240.94705,0.00000,0.00000,0.0000,0,2600.97884,3679.37052,847.43234,3.18818,8.03255,8.75762,6.75754,0.84127,n/a,
