
-----------------------------------------------------------------
Loaded dataset:, F:\microCT\Axial\AX13_RC04\AX13_RC04_Rec_20160908\ReconstructedAnalysis_20160909\VOI_new\ax13_rc04__rec0000

<<<<< Begin of task (31d25cc6-29e9-4c04-89b0-db5959b0a097) >>>>>

CT Analyser, Version: 1.14.4.1
Dataset name, F:\microCT\Axial\AX13_RC04\AX13_RC04_Rec_20160908\ReconstructedAnalysis_20160909\VOI_new\ax13_rc04__rec00001907.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 3916, 3888
Total number of images, 1992
Total Z-position range, 449, 2440
Number of images inside VOI, 1992
Z-position range of VOI, 449, 2440
Z spacing, 1
Pixel size (um), 0.875002

-----------------------------------------------------------------

-----------------------------------------------------------------
[ 09/13/16 16:30:42 ] Thresholding
Mode, Global
Lower grey threshold, 10
Upper grey threshold, 255
[ 09/13/16 16:32:41 ]	Thresholding done

-----------------------------------------------------------------

-----------------------------------------------------------------
[ 09/13/16 16:59:04 ]	2D analysis
Operator identity,User
Computer name,DESKTOP-44596JI
Computation time,00:26:23
Dataset folder,F:\microCT\Axial\AX13_RC04\AX13_RC04_Rec_20160908\ReconstructedAnalysis_20160909\VOI_new\
Pixel size,0.87500,um
Lower grey threshold,10
Upper grey threshold,255

Summary 2D data
---------------
Total VOI volume,TV,8372387938.65527,um^3
Object volume,Obj.V,36339190.23950,um^3
Percent object volume,Obj.V/TV,0.43404,
Total VOI surface,TS,25072521.62435,um^2
Peripheral VOI surface,TS(per),14592341.46512,um^2
Object surface,Obj.S,7786440.81695,um^2
Object surface / volume ratio,Obj.S/Obj.V,0.21427,1/um
Mean total crossectional ROI area,T.Ar,4803424.44166,um^2
Mean total crossectional ROI perimeter,T.Pm,8371.94958,um
Mean total crossectional object area,Obj.Ar,20848.59850,um^2
Mean total crossectional object perimeter,Obj.Pm,2720.48100,um
Mean number of objects per slice,Obj.N,33.22139,
Average object area per slice,Av.Obj.Ar,637.30853,um^2
Average object area-equivalent circle diameter per slice,Av.Obj.ECDa,28.27897,um
Average moment of inertia (x),Av.MMI(x),7212128169.87358,um^4
Average moment of inertia (y),Av.MMI(y),6826901977.47588,um^4
Mean polar moment of inertia,MMI(polar),14039030147.34945,um^4
Average principal moment of inertia (max),Av.MMI(max),9244513375.86479,um^4
Average principal moment of inertia (min),Av.MMI(min),4794516771.48468,um^4
Mean eccentricity,Ecc,0.67007,
Crossectional thickness,Cs.Th,15.32714,um
Structure thickness (plate model),St.Th(pl),9.33397,um
Structure separation (plate model),St.Sp(pl),2141.17052,um
Structure linear density (plate model),St.Li.Dn(pl),0.00047,1/um
Structure diameter (rod model),St.Dm(rd),18.66793,um
Structure separation (rod model),St.Sp(rd),232.45030,um
Structure linear density (rod model),St.Li.Dn(rd),0.00398,1/um
Mean surface convexity index,SCv.I,0.07441,1/um
Closed porosity (percent),Po(cl),0.02711,
Centroid (x),Crd.X,2023.02556,um
Centroid (y),Crd.Y,1568.72697,um
Centroid (z),Crd.Z,1253.14824,um
Mean fractal dimension,FD,0.84714,
Total intersection surface,i.S,48623.23534,um^2
Percent intersection surface,i.S/TS(per),0.33321,

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar Moment of inertia,Product of inertia,Principal moment of inertia (max),Principal moment of inertia (min),Total orientation,Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Pr.In,MMI(max),MMI(min),T.Or,Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,um,,um^2,um^2,,um,um,1/um,um^2,um,1/um,,,um^2,um,,um^2,um^2,,,um,um,um^4,um^4,um^4,um^4,um^4,um^4,°,,um,um,1/um,,um,
ax13_rc04__rec00002440.bmp,2135.00488,42,4637978.77243,24091.93631,0.51945,8245.40710,3204.96042,0.13303,573.61753,27.02504,0.06980,41,1,30.05092,23.59930,0.12458,4613856.78520,4613886.83612,99.47990,99.48055,2121.00485,1652.87878,7754596385.11567,6886883926.86059,14641480311.97626,-1569774449.67390,8949366279.56645,5692114032.40981,127.27510,0.59931,15.03416,2879.21611,0.00035,0.83377,0.00000,
ax13_rc04__rec00002439.bmp,2134.12988,40,4637978.77243,24275.49574,0.52341,8245.40710,3108.51297,0.12805,606.88739,27.79772,0.07676,40,0,0.00000,0.00000,0.00000,4613703.27669,4613703.27669,99.47659,99.47659,2098.25480,1666.00381,7884676388.57703,6953311372.72255,14837987761.29958,-1605668390.11747,9090828554.65671,5747159206.64287,126.91328,0.59750,15.61872,2968.43109,0.00034,0.86056,0.00000,
ax13_rc04__rec00002438.bmp,2133.25488,40,4637978.77243,24478.67440,0.52779,8245.40710,3003.65219,0.12270,611.96686,27.91380,0.07821,39,1,6.89066,10.92465,0.02814,4613493.20737,4613500.09803,99.47206,99.47221,2077.25475,1678.25384,8016839335.22271,6980331082.96838,14997170418.19110,-1617976635.60694,9197536571.73598,5799633846.45511,126.11961,0.60223,16.29927,3071.92698,0.00032,0.86786,0.00000,
ax13_rc04__rec00002437.bmp,2132.37987,34,4637978.77243,25146.30245,0.54218,8245.40710,3033.70251,0.12064,739.59713,30.68688,0.06282,33,1,1.14844,4.22488,0.00457,4612831.32153,4612832.46997,99.45779,99.45782,2062.37971,1687.00386,8275438237.03351,7146506745.34629,15421944982.37980,-1645937063.48685,9451009960.66879,5970935021.71101,125.53543,0.59679,16.57796,3041.05788,0.00033,0.87663,0.00000,
ax13_rc04__rec00002436.bmp,2131.50487,32,4637978.77243,25718.41835,0.55452,8245.40710,3053.50155,0.11873,803.70057,31.98911,0.06450,32,0,0.00000,0.00000,0.00000,4612260.35408,4612260.35408,99.44548,99.44548,2049.25468,1694.87887,8493121890.17385,7253764969.24735,15746886859.42119,-1640896287.80861,9627450847.51309,6119436011.90810,124.65557,0.59307,16.84520,3020.96480,0.00033,0.88138,0.00000,
ax13_rc04__rec00002435.bmp,2130.62987,32,4637978.77243,26165.73680,0.56416,8245.40710,3078.49908,0.11765,817.67928,32.26611,0.06157,32,0,0.00000,0.00000,0.00000,4611813.03563,4611813.03563,99.43584,99.43584,2037.00466,1701.00389,8667624681.30436,7314891760.03230,15982516441.33666,-1616977950.76700,9743995874.26626,6238520567.07040,123.65045,0.59267,16.99902,2996.14385,0.00033,0.88413,0.00000,
ax13_rc04__rec00002434.bmp,2129.75487,33,4637978.77243,26376.28464,0.56870,8245.40710,3090.32449,0.11716,799.28135,31.90104,0.06203,32,1,4.78518,8.44977,0.01814,4611597.70261,4611602.48779,99.43119,99.43130,2022.12962,1705.37890,8838365668.09848,7299010952.26190,16137376620.36038,-1554111296.67706,9802950446.58037,6334426173.78001,121.82649,0.58913,17.07024,2984.54257,0.00033,0.88709,0.00000,
ax13_rc04__rec00002433.bmp,2128.87987,39,4637978.77243,26505.19734,0.57148,8245.40710,3077.01290,0.11609,679.62044,29.41632,0.06710,39,0,0.00000,0.00000,0.00000,4611473.57509,4611473.57509,99.42852,99.42852,2008.12959,1708.87891,8993770705.00771,7274032415.70914,16267803120.71685,-1521079647.88058,9881201832.52586,6386601288.19099,120.26022,0.58327,17.22788,2997.37032,0.00033,0.87294,0.00000,
