Results of individual 3D analysis
Dataset name, F:\microCT\Axial\AX13_RC04\AX13_RC04_Rec_20160908\ReconstructedAnalysis_20160909\VOI_new\ax13_rc04__rec0000
Number of objects, 2488
#,Object volume,Object surface,Volume of pores,Surface of pores,Porosity,Number of pores,Centroid x,Centroid y,Centroid z,Structure model index,Volume-equivalent sphere diameter,Surface-equivalent sphere diameter,Sauter diameter,Sphericity,Density,
,Obj.V,Obj.S,Po.V,Po.S,Po,Po.N,Crd.X,Crd.Y,Crd.Z,SMI,ESDv,ESDs,Sau.Dm,Sph,Dens,
,um^3,um^2,um^3,um^2,,,um,um,um,,um,um,um,,Index,
1,36065.32396,6392.86197,0.00000,0.00000,0.0000,0,2222.62229,536.50764,405.48779,3.15499,40.99181,45.10999,33.84899,0.82575,n/a,
2,43161.38052,8448.98266,0.00000,0.00000,0.0000,0,2128.33849,720.56084,401.52544,2.54869,43.52100,51.85937,30.65082,0.70428,n/a,
3,2931.87736,1181.69670,0.00000,0.00000,0.0000,0,1117.37835,777.61163,398.69201,3.21504,17.75752,19.39448,14.88645,0.83832,n/a,
4,13392.55586,3313.68426,0.00000,0.00000,0.0000,0,1667.30229,853.41997,401.97294,3.12435,29.46377,32.47735,24.24954,0.82303,n/a,
5,13622.64769,3579.63080,0.00000,0.00000,0.0000,0,1321.00358,864.41209,400.32626,2.93944,29.63155,33.75547,22.83361,0.77058,n/a,
6,3290.84630,1522.84510,0.00000,0.00000,0.0000,0,2661.53738,1049.46786,396.12512,2.51843,18.45453,22.01674,12.96591,0.70259,n/a,
7,33770.49085,5842.16467,0.00000,0.00000,0.0000,0,2126.10928,1132.41929,410.36187,3.30110,40.10325,43.12330,34.68285,0.86484,n/a,
8,115.11570,296.89188,0.00000,0.00000,0.0000,0,1925.97611,1130.43350,392.96340,1.69597,6.03548,9.72130,2.32642,0.38546,n/a,
9,21040.79931,4254.55212,0.00000,0.00000,0.0000,0,3038.13557,1306.15938,407.62036,3.32061,34.25215,36.80035,29.67288,0.86631,n/a,
10,24112.77504,4863.48219,0.00000,0.00000,0.0000,0,1764.95911,1405.71742,406.53684,3.15224,35.84398,39.34583,29.74754,0.82992,n/a,
11,9177.99262,2437.56541,0.00000,0.00000,0.0000,0,3150.29587,1406.48138,402.36997,3.33358,25.97664,27.85500,22.59138,0.86968,n/a,
12,4399.88165,1628.26800,0.00000,0.00000,0.0000,0,930.80083,1581.06014,399.20765,3.03896,20.33047,22.76607,16.21311,0.79748,n/a,
13,29128.62617,6181.80242,0.00000,0.00000,0.0000,0,1081.29022,1620.82226,404.27408,2.81136,38.17454,44.35909,28.27197,0.74060,n/a,
14,334.40496,377.18636,0.00000,0.00000,0.0000,0,1639.83391,1604.14816,393.81742,2.21646,8.61175,10.95729,5.31947,0.61770,n/a,
15,0.94906,5.58337,0.00000,0.00000,0.0000,0,944.41883,1599.79532,392.87590,2.92150,1.21927,1.33313,1.01988,0.83647,n/a,
16,2166.20724,1044.50865,0.00000,0.00000,0.0000,0,2152.12266,1747.22254,396.25897,2.88821,16.05340,18.23396,12.44340,0.77513,n/a,
17,672.41078,441.34721,0.00000,0.00000,0.0000,0,1969.61660,1800.83929,395.72288,3.16227,10.86956,11.85264,9.14125,0.84100,n/a,
18,8802.91754,2668.51731,0.00000,0.00000,0.0000,0,2133.40094,1857.63303,399.01606,2.85743,25.61785,29.14473,19.79283,0.77262,n/a,
19,38498.63647,7215.56019,0.00000,0.00000,0.0000,0,2307.61491,1981.75049,402.87631,2.83909,41.89372,47.92478,32.01301,0.76415,n/a,
20,344.37012,294.57497,0.00000,0.00000,0.0000,0,2744.19627,2004.08125,394.61090,2.98726,8.69646,9.68329,7.01424,0.80656,n/a,
21,516.20626,364.86186,0.00000,0.00000,0.0000,0,1426.26890,2070.89841,396.32338,3.24327,9.95271,10.77679,8.48879,0.85291,n/a,
22,137.83737,249.93683,0.00000,0.00000,0.0000,0,2320.23638,2078.10567,393.22911,1.75429,6.40899,8.91949,3.30893,0.51630,n/a,
23,9122.05376,2489.40046,0.00000,0.00000,0.0000,0,2460.07800,2127.93062,400.90107,3.20814,25.92376,28.14961,21.98615,0.84811,n/a,
24,763.43704,513.13042,0.00000,0.00000,0.0000,0,1371.37683,2143.47966,395.43342,2.94415,11.33944,12.78024,8.92682,0.78724,n/a,
25,10795.78130,2947.02845,0.00000,0.00000,0.0000,0,2416.46626,2232.26376,400.03439,2.99065,27.42112,30.62790,21.97966,0.80156,n/a,
26,2530.56349,1070.02237,0.00000,0.00000,0.0000,0,1625.87717,2383.26223,398.07938,3.21230,16.90725,18.45532,14.18978,0.83927,n/a,
27,31607.01914,6078.76065,0.00000,0.00000,0.0000,0,2087.80881,2415.04911,405.94481,2.97757,39.22789,43.98783,31.19750,0.79529,n/a,
28,6057.64261,2350.10740,0.00000,0.00000,0.0000,0,1549.02282,2476.78199,403.10953,3.06871,22.61700,27.35073,15.46561,0.68380,n/a,
29,389.17145,293.71180,0.00000,0.00000,0.0000,0,980.52103,1709.29571,399.37781,3.36929,9.05832,9.66909,7.95007,0.87765,n/a,
30,281.45286,244.74726,0.00000,0.00000,0.0000,0,3027.78911,1692.88931,399.27904,3.29878,8.13084,8.82641,6.89984,0.84860,n/a,
31,22975.10033,4456.88973,0.00000,0.00000,0.0000,0,2373.19728,568.96390,419.96409,3.37714,35.27115,37.66526,30.92978,0.87691,n/a,
32,55380.67183,8253.68217,0.00000,0.00000,0.0000,0,2021.70698,1957.32733,428.66798,3.24349,47.29187,51.25650,40.25888,0.85129,n/a,
33,846.20087,497.02847,0.00000,0.00000,0.0000,0,1835.61784,2334.58139,410.90765,3.29813,11.73523,12.57812,10.21512,0.87047,n/a,
34,4242.56059,1473.62358,0.00000,0.00000,0.0000,0,1242.17640,1060.03368,416.12923,3.30370,20.08521,21.65800,17.27399,0.86004,n/a,
35,11907.77550,2881.73280,0.00000,0.00000,0.0000,0,1550.01957,305.08151,419.27281,3.36559,28.33201,30.28670,24.79295,0.87509,n/a,
36,6577.25433,1950.49159,0.00000,0.00000,0.0000,0,2363.00172,1470.96961,418.35953,3.35581,23.24602,24.91708,20.23261,0.87037,n/a,
37,2404.31027,991.38107,0.00000,0.00000,0.0000,0,2028.95798,646.11855,418.00535,3.36486,16.62126,17.76419,14.55128,0.87546,n/a,
38,103874.24833,12349.34727,0.00000,0.00000,0.0000,0,2562.74477,943.89012,442.05473,3.33879,58.32254,62.69704,50.46789,0.86532,n/a,
39,104591.37670,12755.87708,0.00000,0.00000,0.0000,0,2326.76376,2465.32785,443.67152,3.21966,58.45645,63.72065,49.19679,0.84160,n/a,
40,11357.40299,2814.01140,0.00000,0.00000,0.0000,0,2362.77808,1327.71185,428.99888,3.33734,27.88861,29.92871,24.21611,0.86832,n/a,
41,193.49710,268.97965,0.00000,0.00000,0.0000,0,1100.94022,1495.83180,416.41721,2.61435,7.17616,9.25305,4.31625,0.60147,n/a,
42,4813.86830,1627.21731,0.00000,0.00000,0.0000,0,1597.42377,2484.21900,424.53030,3.22952,20.94909,22.75872,17.75006,0.84730,n/a,
43,32404.14790,5627.96995,0.00000,0.00000,0.0000,0,2863.32625,606.42017,433.78672,3.34519,39.55493,42.32539,34.54618,0.87337,n/a,
44,3085.62549,1167.55842,0.00000,0.00000,0.0000,0,3115.20787,1304.54084,422.90780,3.38987,18.06265,19.27811,15.85681,0.87788,n/a,
45,12890.22267,3101.77862,0.00000,0.00000,0.0000,0,2753.38738,1731.63218,428.60111,3.29957,29.09068,31.42176,24.93451,0.85713,n/a,
46,39926.36143,6551.49039,0.00000,0.00000,0.0000,0,2745.70744,1810.12254,438.67750,3.33037,42.40532,45.66623,36.56545,0.86228,n/a,
47,13108.06042,3151.29711,0.00000,0.00000,0.0000,0,2118.04377,974.62476,435.55729,3.29427,29.25364,31.67158,24.95746,0.85314,n/a,
48,31.43072,58.72719,0.00000,0.00000,0.0000,0,1112.96889,1489.80869,419.44567,3.05230,3.91548,4.32359,3.21119,0.82013,n/a,
49,2214.94439,923.22820,0.00000,0.00000,0.0000,0,3109.53145,1510.89833,426.06627,3.43115,16.17291,17.14271,14.39478,0.89006,n/a,
50,31604.08821,6005.82601,0.00000,0.00000,0.0000,0,1454.56109,2406.90925,440.39738,3.03201,39.22668,43.72315,31.57343,0.80490,n/a,
