
-----------------------------------------------------------------
Loaded dataset:, F:\microCT\Axial\AX13_RC05\AX13_RC05_Rec_20150722\ReconstructedAnalysis_20160615\VOI_new\ax13_rc05_meghan__rec0000

<<<<< Begin of task (e59d3942-a1f9-419e-a3e2-12942ecedeff) >>>>>

CT Analyser, Version: 1.14.4.1
Dataset name, F:\microCT\Axial\AX13_RC05\AX13_RC05_Rec_20150722\ReconstructedAnalysis_20160615\VOI_new\ax13_rc05_meghan__rec00001726.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 2196, 2196
Total number of images, 2571
Total Z-position range, 48, 2618
Number of images inside VOI, 2571
Z-position range of VOI, 48, 2618
Z spacing, 1
Pixel size (um), 0.599983

-----------------------------------------------------------------

-----------------------------------------------------------------
[ 09/22/16 10:22:02 ] Thresholding
Mode, Global
Lower grey threshold, 10
Upper grey threshold, 255
[ 09/22/16 10:22:24 ]	Thresholding done

-----------------------------------------------------------------

-----------------------------------------------------------------
[ 09/22/16 10:30:54 ]	2D analysis
Operator identity,User
Computer name,DESKTOP-44596JI
Computation time,00:08:29
Dataset folder,F:\microCT\Axial\AX13_RC05\AX13_RC05_Rec_20150722\ReconstructedAnalysis_20160615\VOI_new\
Pixel size,0.59998,um
Lower grey threshold,10
Upper grey threshold,255

Summary 2D data
---------------
Total VOI volume,TV,1651722496.34964,um^3
Object volume,Obj.V,14582104.10391,um^3
Percent object volume,Obj.V/TV,0.88284,
Total VOI surface,TS,8288584.66152,um^2
Peripheral VOI surface,TS(per),5968840.88425,um^2
Object surface,Obj.S,1945294.79156,um^2
Object surface / volume ratio,Obj.S/Obj.V,0.13340,1/um
Mean total crossectional ROI area,T.Ar,1070769.67229,um^2
Mean total crossectional ROI perimeter,T.Pm,3869.44769,um
Mean total crossectional object area,Obj.Ar,9453.20710,um^2
Mean total crossectional object perimeter,Obj.Pm,772.98440,um
Mean number of objects per slice,Obj.N,7.50758,
Average object area per slice,Av.Obj.Ar,1317.03646,um^2
Average object area-equivalent circle diameter per slice,Av.Obj.ECDa,39.35017,um
Average moment of inertia (x),Av.MMI(x),609540462.51037,um^4
Average moment of inertia (y),Av.MMI(y),513161156.77967,um^4
Mean polar moment of inertia,MMI(polar),1122701619.29004,um^4
Average principal moment of inertia (max),Av.MMI(max),887423422.52451,um^4
Average principal moment of inertia (min),Av.MMI(min),235278196.76553,um^4
Mean eccentricity,Ecc,0.85469,
Crossectional thickness,Cs.Th,24.45899,um
Structure thickness (plate model),St.Th(pl),14.99218,um
Structure separation (plate model),St.Sp(pl),1683.17974,um
Structure linear density (plate model),St.Li.Dn(pl),0.00059,1/um
Structure diameter (rod model),St.Dm(rd),29.98436,um
Structure separation (rod model),St.Sp(rd),252.82785,um
Structure linear density (rod model),St.Li.Dn(rd),0.00354,1/um
Mean surface convexity index,SCv.I,0.06119,1/um
Closed porosity (percent),Po(cl),0.03170,
Centroid (x),Crd.X,703.42248,um
Centroid (y),Crd.Y,661.20468,um
Centroid (z),Crd.Z,786.47659,um
Mean fractal dimension,FD,0.95899,
Total intersection surface,i.S,67905.93903,um^2
Percent intersection surface,i.S/TS(per),1.13767,

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar Moment of inertia,Product of inertia,Principal moment of inertia (max),Principal moment of inertia (min),Total orientation,Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Pr.In,MMI(max),MMI(min),T.Or,Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,um,,um^2,um^2,,um,um,1/um,um^2,um,1/um,,,um^2,um,,um^2,um^2,,,um,um,um^4,um^4,um^4,um^4,um^4,um^4,°,,um,um,1/um,,um,
ax13_rc05_meghan__rec00002618.bmp,1570.75549,7,1014735.15590,18203.40343,1.79391,3766.92279,1104.03404,0.06065,2600.48620,57.54165,0.03950,7,0,0.00000,0.00000,0.00000,996531.75247,996531.75247,98.20609,98.20609,596.38310,782.97782,1421748417.87064,1223615936.22755,2645364354.09819,-575466495.77231,1906613515.33038,738750838.76781,130.11615,0.77610,32.97616,1805.25548,0.00054,0.95603,0.00000,
ax13_rc05_meghan__rec00002617.bmp,1570.15551,7,1015263.24597,17885.13647,1.76163,3768.12275,1087.99774,0.06083,2555.01950,57.03641,0.04008,7,0,0.00000,0.00000,0.00000,997378.10951,997378.10951,98.23837,98.23837,595.18314,785.37775,1392676047.22897,1198659056.01351,2591335103.24248,-567077442.34430,1870982659.91915,720352443.32334,130.14626,0.78019,32.87716,1833.41945,0.00054,1.01034,0.00000,
ax13_rc05_meghan__rec00002616.bmp,1569.55553,7,1015263.24597,17574.47407,1.73103,3768.12275,1071.60998,0.06098,2510.63915,56.53888,0.04022,7,0,0.00000,0.00000,0.00000,997688.77190,997688.77190,98.26897,98.26897,593.98317,787.17770,1366468420.40323,1171701780.16077,2538170200.56400,-558318440.82373,1835832832.87709,702337367.68691,130.05293,0.78323,32.80013,1862.03710,0.00053,1.00289,0.00000,
ax13_rc05_meghan__rec00002615.bmp,1568.95555,8,1015263.24597,17253.82224,1.69944,3768.12275,1056.62807,0.06124,2156.72778,52.40259,0.04579,8,0,0.00000,0.00000,0.00000,998009.42373,998009.42373,98.30056,98.30056,592.78320,788.37766,1337105039.38181,1145412463.07823,2482517502.46004,-548364438.37135,1797936457.10910,684581045.35094,130.04283,0.78036,32.65827,1889.04583,0.00052,0.99830,0.00000,
ax13_rc05_meghan__rec00002614.bmp,1568.35556,6,1015263.24597,16937.85015,1.66832,3768.12275,1004.15605,0.05928,2822.97502,59.95268,0.03749,6,0,0.00000,0.00000,0.00000,998325.39582,998325.39582,98.33168,98.33168,591.58324,789.57763,1311324705.63895,1116186000.25476,2427510705.89371,-537626312.77139,1760163470.35445,667347235.53926,129.85691,0.78427,33.73549,1988.38696,0.00049,1.01047,0.00000,
ax13_rc05_meghan__rec00002613.bmp,1567.75558,6,1015263.24597,16655.40115,1.64050,3768.12275,994.32546,0.05970,2775.90019,59.45070,0.03795,6,0,0.00000,0.00000,0.00000,998607.84482,998607.84482,98.35950,98.35950,589.78329,789.57763,1292937835.05583,1083501236.67965,2376439071.73548,-525221601.10280,1723778731.89543,652660339.84004,129.36213,0.78571,33.50090,2008.61364,0.00049,1.00895,0.00000,
ax13_rc05_meghan__rec00002612.bmp,1567.15560,7,1015263.24597,16393.51599,1.61471,3768.12275,997.42832,0.06084,2341.93086,54.60622,0.04430,7,0,0.00000,0.00000,0.00000,998869.72998,998869.72998,98.38529,98.38529,588.58332,788.97765,1276300870.18803,1054463648.15254,2330764518.34057,-514894045.12518,1692087884.71028,638676633.63029,128.92155,0.78559,32.87157,2002.89026,0.00049,0.98867,0.00000,
ax13_rc05_meghan__rec00002611.bmp,1566.55561,7,1015263.24597,16121.37142,1.58790,3768.12275,993.82842,0.06165,2303.05306,54.15107,0.04443,7,0,0.00000,0.00000,0.00000,999141.87455,999141.87455,98.41210,98.41210,587.38336,788.37766,1258647010.08418,1026226970.94888,2284873981.03305,-505190608.92833,1660821326.69702,624052654.33603,128.52275,0.78563,32.44297,2010.69290,0.00049,0.98911,0.00000,
