Results of individual 3D analysis
Dataset name, F:\microCT\Axial\AX13_RC05\AX13_RC05_Rec_20150722\ReconstructedAnalysis_20160615\VOI_new\ax13_rc05_meghan__rec0000
Number of objects, 525
#,Object volume,Object surface,Volume of pores,Surface of pores,Porosity,Number of pores,Centroid x,Centroid y,Centroid z,Structure model index,Volume-equivalent sphere diameter,Surface-equivalent sphere diameter,Sauter diameter,Sphericity,Density,
,Obj.V,Obj.S,Po.V,Po.S,Po,Po.N,Crd.X,Crd.Y,Crd.Z,SMI,ESDv,ESDs,Sau.Dm,Sph,Dens,
,um^3,um^2,um^3,um^2,,,um,um,um,,um,um,um,,Index,
1,18458.06098,6017.75777,0.00000,0.00000,0.0000,0,565.79691,234.52273,33.09863,1.79812,32.78907,43.76656,18.40359,0.56127,n/a,
2,914.01630,1185.38563,0.00000,0.00000,0.0000,0,524.53486,542.73575,29.56967,1.19254,12.04070,19.42473,4.62643,0.38423,n/a,
3,24673.16666,7204.93987,0.00000,0.00000,0.0000,0,1123.04680,597.56742,33.65699,1.82840,36.11953,47.88949,20.54688,0.56886,n/a,
4,37660.91664,7921.88841,0.00000,0.00000,0.0000,0,199.82162,692.48132,36.08805,2.44750,41.58762,50.21569,28.52420,0.68588,n/a,
5,161.17630,166.47292,0.00000,0.00000,0.0000,0,933.18332,850.82893,31.22445,3.29507,6.75203,7.27942,5.80910,0.86035,n/a,
6,309805.23506,28991.47519,0.00000,0.00000,0.0000,0,461.94277,1129.42510,47.09350,2.78548,83.95181,96.06390,64.11648,0.76373,n/a,
7,207.60335,193.51043,0.00000,0.00000,0.0000,0,535.75651,579.51712,33.69812,3.35423,7.34647,7.84833,6.43697,0.87620,n/a,
8,0.14399,1.64168,0.00000,0.00000,0.0000,0,650.68156,61.19827,32.99907,2.64967,0.65029,0.72288,0.52625,0.80924,n/a,
9,778.46983,459.91639,0.00000,0.00000,0.0000,0,221.26012,494.79178,42.82230,3.40175,11.41338,12.09942,10.15580,0.88982,n/a,
10,1328.06211,648.03442,0.00000,0.00000,0.0000,0,328.90983,1066.75238,44.60845,3.48707,13.63766,14.36230,12.29622,0.90164,n/a,
11,12466.25331,2896.99910,0.00000,0.00000,0.0000,0,802.26989,960.32962,51.98066,3.43868,28.76818,30.36681,25.81897,0.89748,n/a,
12,1680.22017,759.22002,0.00000,0.00000,0.0000,0,92.98753,652.79342,55.75438,3.46911,14.74990,15.54565,13.27852,0.90024,n/a,
13,3904.76808,1320.70722,0.00000,0.00000,0.0000,0,1197.30978,449.47806,62.12121,3.49412,19.53734,20.50352,17.73944,0.90798,n/a,
14,37457.83090,6011.38281,0.00000,0.00000,0.0000,0,1043.98508,643.08792,75.86776,3.48614,41.51273,43.74337,37.38690,0.90061,n/a,
15,387.23708,290.59913,0.00000,0.00000,0.0000,0,555.23833,942.25622,59.73065,3.39002,9.04328,9.61772,7.99528,0.88411,n/a,
16,197.94717,190.36755,0.00000,0.00000,0.0000,0,556.00747,777.02444,65.52201,3.28964,7.23075,7.78434,6.23889,0.86283,n/a,
17,431.37833,310.24737,0.00000,0.00000,0.0000,0,1009.71896,381.95651,79.60440,3.41062,9.37461,9.93755,8.34260,0.88991,n/a,
