
-----------------------------------------------------------------
Loaded dataset:, F:\microCT\Axial\AX13_RC06\AX13_RC06_Rec_20160517\ReconstructedAnalysis_20160615\VOI\ax13_rc06__rec0000

<<<<< Begin of task (bf6f7e8f-5a47-45b7-9c01-41e72911a3de) >>>>>

CT Analyser, Version: 1.14.4.1
Dataset name, F:\microCT\Axial\AX13_RC06\AX13_RC06_Rec_20160517\ReconstructedAnalysis_20160615\VOI\ax13_rc06__rec00001123.bmp
File postfix length, 4
File type, BMP
Roi filename, F:\microCT\Axial\AX13_RC06\AX13_RC06_Rec_20160517\ax13_rc06__rec0000.roi
Image size (W/H), 3948, 3948
Total number of images, 2648
Total Z-position range, 20, 2667
Number of images inside VOI, 2648
Z-position range of VOI, 20, 2667
Z spacing, 1
Pixel size (um), 0.700001

-----------------------------------------------------------------

-----------------------------------------------------------------
[ 08/04/16 14:54:17 ] Thresholding
Mode, Global
Lower grey threshold, 10
Upper grey threshold, 255
[ 08/04/16 14:56:58 ]	Thresholding done

-----------------------------------------------------------------

-----------------------------------------------------------------
[ 08/04/16 15:31:17 ]	2D analysis
Operator identity,User
Computer name,DESKTOP-44596JI
Computation time,00:34:18
Dataset folder,F:\microCT\Axial\AX13_RC06\AX13_RC06_Rec_20160517\ReconstructedAnalysis_20160615\VOI\
Pixel size,0.70000,um
Lower grey threshold,10
Upper grey threshold,255

Summary 2D data
---------------
Total VOI volume,TV,8456528336.02470,um^3
Object volume,Obj.V,78608415.11424,um^3
Percent object volume,Obj.V/TV,0.92956,
Total VOI surface,TS,27420488.32060,um^2
Peripheral VOI surface,TS(per),14965519.03124,um^2
Object surface,Obj.S,9526002.60060,um^2
Object surface / volume ratio,Obj.S/Obj.V,0.12118,1/um
Mean total crossectional ROI area,T.Ar,4562210.81135,um^2
Mean total crossectional ROI perimeter,T.Pm,8073.74492,um
Mean total crossectional object area,Obj.Ar,42408.43843,um^2
Mean total crossectional object perimeter,Obj.Pm,3219.37927,um
Mean number of objects per slice,Obj.N,29.77681,
Average object area per slice,Av.Obj.Ar,1506.95884,um^2
Average object area-equivalent circle diameter per slice,Av.Obj.ECDa,42.98398,um
Average moment of inertia (x),Av.MMI(x),12398593716.14511,um^4
Average moment of inertia (y),Av.MMI(y),14972386290.12107,um^4
Mean polar moment of inertia,MMI(polar),27370980006.26620,um^4
Average principal moment of inertia (max),Av.MMI(max),18830393578.35196,um^4
Average principal moment of inertia (min),Av.MMI(min),8540586427.91430,um^4
Mean eccentricity,Ecc,0.71376,
Crossectional thickness,Cs.Th,26.34572,um
Structure thickness (plate model),St.Th(pl),16.50397,um
Structure separation (plate model),St.Sp(pl),1758.95814,um
Structure linear density (plate model),St.Li.Dn(pl),0.00056,1/um
Structure diameter (rod model),St.Dm(rd),33.00793,um
Structure separation (rod model),St.Sp(rd),270.39852,um
Structure linear density (rod model),St.Li.Dn(rd),0.00330,1/um
Mean surface convexity index,SCv.I,0.02973,1/um
Closed porosity (percent),Po(cl),0.16922,
Centroid (x),Crd.X,1421.15211,um
Centroid (y),Crd.Y,1335.62263,um
Centroid (z),Crd.Z,922.65451,um
Mean fractal dimension,FD,0.97183,
Total intersection surface,i.S,149363.11051,um^2
Percent intersection surface,i.S/TS(per),0.99805,

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar Moment of inertia,Product of inertia,Principal moment of inertia (max),Principal moment of inertia (min),Total orientation,Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Pr.In,MMI(max),MMI(min),T.Or,Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,um,,um^2,um^2,,um,um,1/um,um^2,um,1/um,,,um^2,um,,um^2,um^2,,,um,um,um^4,um^4,um^4,um^4,um^4,um^4,°,,um,um,1/um,,um,
ax13_rc06__rec00002667.bmp,1866.90317,106,4622140.39026,24085.84814,0.52110,8039.18851,5205.57698,0.21613,227.22498,17.00917,-0.06707,16,90,714.29993,964.51507,2.88022,4597340.24219,4598054.54212,99.46345,99.47890,1515.50258,914.20155,7025620389.19570,6455739885.84812,13481360275.04382,-1908398430.07380,8670233328.01241,4811126947.03140,130.75399,0.66557,9.25386,1766.58786,0.00056,0.97702,80.19208,
ax13_rc06__rec00002666.bmp,1866.20317,107,4622140.39026,24247.05869,0.52459,8039.18851,5223.53681,0.21543,226.60803,16.98606,-0.07117,26,81,562.21566,836.58824,2.26615,4597331.11591,4597893.33157,99.46325,99.47541,1515.50258,914.90156,7073237590.67779,6463636033.46653,13536873624.14432,-1938638603.43294,8730890161.67286,4805983462.47146,130.53243,0.66918,9.28377,1760.45216,0.00057,0.97726,79.49208,
ax13_rc06__rec00002665.bmp,1865.50317,114,4622140.39026,24382.36040,0.52751,8039.18851,5184.00911,0.21261,213.88035,16.50215,-0.05188,38,76,521.85177,778.13991,2.09544,4597236.17809,4597758.02986,99.46120,99.47249,1515.50258,914.20155,7077904730.24812,6465326726.74195,13543231456.99006,-1974837441.85543,8770064095.19080,4773167361.79926,130.59195,0.67429,9.40676,1773.82328,0.00056,0.96946,78.50213,
ax13_rc06__rec00002664.bmp,1864.80317,111,4622140.39026,24503.08456,0.53012,8039.18851,5161.48044,0.21065,220.74851,16.76502,-0.05307,36,75,485.59165,747.38107,1.94325,4597151.71405,4597637.30570,99.45937,99.46988,1516.20258,910.70155,7007503278.03002,6446449405.22172,13453952683.25174,-2010567177.26233,8757019625.97547,4696933057.27627,131.02851,0.67589,9.49460,1781.51883,0.00056,0.95873,77.51218,
ax13_rc06__rec00002663.bmp,1864.10317,119,4622140.39026,24640.10128,0.53309,8039.18851,5139.98793,0.20860,207.05967,16.23689,-0.03972,46,73,509.05048,751.75092,2.02413,4596991.23851,4597500.28899,99.45590,99.46691,1517.60258,907.90154,6928473154.08285,6423331291.99294,13351804446.07579,-2049918203.98109,8741321482.70940,4610482963.36639,131.48799,0.68332,9.58761,1788.91482,0.00056,0.95450,77.51218,
ax13_rc06__rec00002662.bmp,1863.40317,119,4622140.39026,24816.13437,0.53690,8039.18851,5136.98893,0.20700,208.53894,16.29479,-0.02574,46,73,520.62677,738.40115,2.05483,4596803.62912,4597324.25589,99.45184,99.46310,1517.60258,905.80154,6873647646.85909,6408038334.37570,13281685981.23479,-2087562085.49364,8741346137.18928,4540339844.04551,131.81834,0.69009,9.66174,1789.89066,0.00056,0.95271,76.52223,
ax13_rc06__rec00002661.bmp,1862.70317,114,4622140.39026,25043.98515,0.54183,8039.18851,5117.09041,0.20432,219.68408,16.72455,-0.01881,50,64,531.16181,709.14181,2.07687,4596565.24331,4597096.40511,99.44668,99.45817,1519.00258,904.40154,6837526641.25589,6385573541.88927,13223100183.14516,-2117266913.29670,8740842129.58609,4482258053.55907,131.95393,0.69484,9.78837,1796.76184,0.00055,0.94483,73.63730,
ax13_rc06__rec00002660.bmp,1862.00317,117,4622140.39026,25286.65847,0.54708,8039.18851,5094.19290,0.20146,216.12529,16.58853,-0.00965,56,61,511.13299,690.43223,1.98131,4596342.59880,4596853.73179,99.44186,99.45292,1520.40258,903.70154,6798687424.41728,6358466512.95345,13157153937.37073,-2144181004.30764,8734026061.55586,4423127875.81487,132.06942,0.69940,9.92764,1804.74270,0.00055,0.94210,73.43227,
