Results of individual 3D analysis
Dataset name, F:\microCT\Axial\AX13_RC06\AX13_RC06_Rec_20160517\ReconstructedAnalysis_20160615\VOI\ax13_rc06__rec0000
Number of objects, 1465
#,Object volume,Object surface,Volume of pores,Surface of pores,Porosity,Number of pores,Centroid x,Centroid y,Centroid z,Structure model index,Volume-equivalent sphere diameter,Surface-equivalent sphere diameter,Sauter diameter,Sphericity,Density,
,Obj.V,Obj.S,Po.V,Po.S,Po,Po.N,Crd.X,Crd.Y,Crd.Z,SMI,ESDv,ESDs,Sau.Dm,Sph,Dens,
,um^3,um^2,um^3,um^2,,,um,um,um,,um,um,um,,Index,
1,415.21791,394.17231,0.00000,0.00000,0.0000,0,1761.68179,337.55809,16.38321,2.88877,9.25605,11.20129,6.32035,0.68283,n/a,
2,104662.18178,12430.99546,0.00000,0.00000,0.0000,0,534.43504,717.04813,42.68472,3.34926,58.46964,62.90396,50.51672,0.86398,n/a,
3,956.34604,637.56066,0.00000,0.00000,0.0000,0,1963.08847,734.87350,18.92593,2.90658,12.22378,14.24577,9.00005,0.73627,n/a,
4,10188.08949,5766.02567,0.00000,0.00000,0.0000,0,1675.64170,797.07334,18.48170,1.73758,26.89664,42.84137,10.60150,0.39416,n/a,
5,138.12966,193.15193,0.00000,0.00000,0.0000,0,2055.00541,806.24526,20.76167,2.78630,6.41351,7.84106,4.29081,0.66903,n/a,
6,47439.69729,8304.93999,0.00000,0.00000,0.0000,0,2045.03861,817.83507,49.02895,4.03916,44.91393,51.41541,34.27336,0.76309,n/a,
7,5068.83698,1687.47549,0.00000,0.00000,0.0000,0,995.77289,852.75182,22.44692,3.32330,21.31261,23.17628,18.02279,0.84564,n/a,
8,326.59483,348.28476,0.00000,0.00000,0.0000,0,2479.18362,875.39943,21.49530,2.80234,8.54418,10.52913,5.62634,0.65850,n/a,
9,19735.20304,5176.80343,0.50307,2.26893,0.0025,1,2464.53051,893.57973,31.83120,1.62507,33.52852,40.59344,22.87342,0.68221,n/a,
10,33604.38016,9753.42933,3.05986,9.98813,0.0091,2,820.48186,963.41274,19.31320,1.15668,40.03739,55.71905,20.67235,0.51633,n/a,
11,93965.09770,18656.78445,1.90509,7.88949,0.0020,2,1471.87747,990.16986,22.50329,0.88074,56.40566,77.06257,30.21907,0.53575,n/a,
12,6130.54172,1964.69083,0.00000,0.00000,0.0000,0,1085.46837,1026.83807,20.52648,3.03029,22.70737,25.00761,18.72216,0.82450,n/a,
13,670.99717,674.52527,0.00000,0.00000,0.0000,0,1055.32257,1304.56192,15.34234,1.80446,10.86194,14.65292,5.96862,0.54950,n/a,
